BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
1,"Algeria",1950,"F",25,999,82.08,16.26,3.12,1.50,0.39,0.17,0.10,0.77,0.68,0.08,0.01,1725,"DZA","Middle East and North Africa"
1,"Algeria",1955,"F",25,999,83.50,14.80,3.00,1.50,0.30,0.20,0.12,0.73,0.64,0.08,0.01,1885,"DZA","Middle East and North Africa"
1,"Algeria",1960,"F",25,999,88.08,10.57,2.27,1.22,0.37,0.13,0.08,0.54,0.47,0.07,0.00,2046,"DZA","Middle East and North Africa"
1,"Algeria",1965,"F",25,999,91.94,6.89,1.60,1.06,0.45,0.11,0.07,0.39,0.32,0.06,0.00,2131,"DZA","Middle East and North Africa"
1,"Algeria",1970,"F",25,999,95.90,3.30,0.80,0.70,0.31,0.10,0.06,0.22,0.17,0.04,0.00,2545,"DZA","Middle East and North Africa"
1,"Algeria",1975,"F",25,999,90.99,6.59,1.43,2.29,1.13,0.14,0.08,0.53,0.39,0.14,0.00,2906,"DZA","Middle East and North Africa"
1,"Algeria",1980,"F",25,999,84.06,11.93,2.52,3.67,2.05,0.33,0.20,0.92,0.67,0.23,0.01,3359,"DZA","Middle East and North Africa"
1,"Algeria",1985,"F",25,999,76.50,17.10,5.08,5.61,3.43,0.79,0.51,1.46,1.05,0.38,0.03,3931,"DZA","Middle East and North Africa"
1,"Algeria",1990,"F",25,999,67.75,21.82,7.68,8.66,5.72,1.77,1.15,2.21,1.51,0.64,0.06,4687,"DZA","Middle East and North Africa"
1,"Algeria",1995,"F",25,999,59.63,25.86,9.77,11.76,8.20,2.76,1.82,2.94,1.94,0.91,0.09,5604,"DZA","Middle East and North Africa"
1,"Algeria",2000,"F",25,999,50.81,30.55,13.15,14.53,10.46,4.11,2.73,3.75,2.43,1.18,0.14,6638,"DZA","Middle East and North Africa"
1,"Algeria",2005,"F",25,999,45.53,33.58,17.56,14.25,10.62,6.65,4.42,4.36,2.79,1.35,0.22,7875,"DZA","Middle East and North Africa"
1,"Algeria",2010,"F",25,999,36.67,36.65,19.23,16.64,12.80,10.04,6.66,5.31,3.28,1.70,0.33,9312,"DZA","Middle East and North Africa"
3,"Benin",1950,"F",25,999,96.99,2.30,0.65,0.66,0.22,0.06,0.03,0.17,0.13,0.04,0.00,504,"BEN","Sub-Saharan Africa"
3,"Benin",1955,"F",25,999,96.31,2.82,0.82,0.81,0.26,0.07,0.04,0.21,0.16,0.04,0.00,498,"BEN","Sub-Saharan Africa"
3,"Benin",1960,"F",25,999,95.69,3.29,1.01,0.95,0.30,0.08,0.05,0.25,0.19,0.05,0.00,500,"BEN","Sub-Saharan Africa"
3,"Benin",1965,"F",25,999,94.28,4.40,1.45,1.22,0.38,0.09,0.06,0.32,0.25,0.07,0.00,522,"BEN","Sub-Saharan Africa"
3,"Benin",1970,"F",25,999,94.24,4.40,1.56,1.26,0.39,0.10,0.06,0.33,0.26,0.07,0.00,558,"BEN","Sub-Saharan Africa"
3,"Benin",1975,"F",25,999,94.22,4.40,1.68,1.29,0.40,0.10,0.06,0.34,0.27,0.07,0.00,618,"BEN","Sub-Saharan Africa"
3,"Benin",1980,"F",25,999,94.30,4.40,1.83,1.30,0.40,0.10,0.06,0.35,0.27,0.07,0.00,703,"BEN","Sub-Saharan Africa"
3,"Benin",1985,"F",25,999,91.66,5.62,2.52,2.55,0.83,0.18,0.12,0.55,0.41,0.14,0.01,813,"BEN","Sub-Saharan Africa"
3,"Benin",1990,"F",25,999,88.58,6.92,3.31,4.18,1.51,0.32,0.21,0.82,0.58,0.24,0.01,937,"BEN","Sub-Saharan Africa"
3,"Benin",1995,"F",25,999,84.48,8.87,4.46,6.15,2.58,0.50,0.33,1.17,0.80,0.36,0.02,1105,"BEN","Sub-Saharan Africa"
3,"Benin",2000,"F",25,999,80.30,11.30,5.94,7.60,3.75,0.80,0.53,1.52,1.02,0.47,0.03,1278,"BEN","Sub-Saharan Africa"
3,"Benin",2005,"F",25,999,77.87,12.62,7.00,8.57,5.10,0.94,0.63,1.75,1.16,0.56,0.03,1500,"BEN","Sub-Saharan Africa"
3,"Benin",2010,"F",25,999,75.56,13.18,8.59,10.18,7.04,1.09,0.72,2.06,1.33,0.69,0.04,1797,"BEN","Sub-Saharan Africa"
4,"Botswana",1950,"F",25,999,71.85,26.45,4.10,1.61,0.38,0.09,0.06,1.25,1.19,0.06,0.00,91,"BWA","Sub-Saharan Africa"
4,"Botswana",1955,"F",25,999,71.81,26.44,4.26,1.65,0.39,0.10,0.06,1.26,1.20,0.06,0.00,98,"BWA","Sub-Saharan Africa"
4,"Botswana",1960,"F",25,999,71.79,26.43,4.47,1.68,0.40,0.10,0.06,1.27,1.21,0.06,0.00,104,"BWA","Sub-Saharan Africa"
4,"Botswana",1965,"F",25,999,71.70,26.40,4.91,1.70,0.40,0.10,0.06,1.29,1.22,0.06,0.00,115,"BWA","Sub-Saharan Africa"
4,"Botswana",1970,"F",25,999,67.90,30.00,1.50,1.70,0.40,0.40,0.24,1.34,1.25,0.08,0.01,129,"BWA","Sub-Saharan Africa"
4,"Botswana",1975,"F",25,999,55.84,40.91,11.23,2.92,0.74,0.32,0.19,2.18,2.05,0.12,0.01,149,"BWA","Sub-Saharan Africa"
4,"Botswana",1980,"F",25,999,51.40,45.00,8.70,3.30,0.80,0.20,0.12,2.26,2.12,0.13,0.01,178,"BWA","Sub-Saharan Africa"
4,"Botswana",1985,"F",25,999,44.32,36.23,13.00,18.23,4.69,1.21,0.78,3.83,3.08,0.70,0.04,214,"BWA","Sub-Saharan Africa"
4,"Botswana",1990,"F",25,999,38.53,20.51,9.34,38.30,13.44,2.66,1.73,5.55,3.91,1.55,0.09,257,"BWA","Sub-Saharan Africa"
4,"Botswana",1995,"F",25,999,30.13,17.08,9.09,49.89,17.75,2.90,1.92,6.70,4.61,2.00,0.10,307,"BWA","Sub-Saharan Africa"
4,"Botswana",2000,"F",25,999,23.49,15.58,9.16,57.63,21.79,3.31,2.20,7.57,5.13,2.33,0.11,355,"BWA","Sub-Saharan Africa"
4,"Botswana",2005,"F",25,999,19.34,12.72,7.95,64.77,24.64,3.17,2.10,8.18,5.48,2.59,0.11,354,"BWA","Sub-Saharan Africa"
4,"Botswana",2010,"F",25,999,15.97,10.41,7.22,70.34,26.17,3.28,2.16,8.68,5.77,2.80,0.11,344,"BWA","Sub-Saharan Africa"
6,"Burundi",1950,"F",25,999,99.05,0.83,0.25,0.07,0.02,0.04,0.02,0.05,0.04,0.00,0.00,528,"BDI","Sub-Saharan Africa"
6,"Burundi",1955,"F",25,999,98.85,1.00,0.31,0.08,0.03,0.04,0.02,0.06,0.05,0.01,0.00,561,"BDI","Sub-Saharan Africa"
6,"Burundi",1960,"F",25,999,98.25,1.56,0.49,0.13,0.05,0.04,0.03,0.09,0.08,0.01,0.00,598,"BDI","Sub-Saharan Africa"
6,"Burundi",1965,"F",25,999,94.70,4.78,1.60,0.43,0.17,0.09,0.06,0.29,0.26,0.02,0.00,640,"BDI","Sub-Saharan Africa"
6,"Burundi",1970,"F",25,999,91.64,7.53,2.69,0.70,0.27,0.13,0.08,0.46,0.42,0.04,0.00,686,"BDI","Sub-Saharan Africa"
