BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,WBcode,region_code,pop
1,"Algeria",1950,"M",15,64,77.86,20.12,4.19,1.59,0.60,0.44,0.28,0.978,0.851,0.112,0.014,"DZA","Middle East and North Africa",2523.0
1,"Algeria",1955,"M",15,64,77.96,19.83,3.92,1.77,0.70,0.37,0.26,0.971,0.841,0.117,0.013,"DZA","Middle East and North Africa",2714.0
1,"Algeria",1960,"M",15,64,77.03,18.60,4.10,3.85,1.43,0.53,0.32,1.195,0.944,0.234,0.017,"DZA","Middle East and North Africa",2831.0
1,"Algeria",1965,"M",15,64,70.40,22.09,6.35,6.72,3.00,0.77,0.43,1.739,1.302,0.413,0.024,"DZA","Middle East and North Africa",2969.0
1,"Algeria",1970,"M",15,64,56.02,32.22,9.79,10.97,5.84,0.66,0.36,2.639,1.958,0.660,0.020,"DZA","Middle East and North Africa",3078.0
1,"Algeria",1975,"M",15,64,44.96,38.83,4.28,14.89,8.31,1.32,0.61,3.242,2.266,0.937,0.039,"DZA","Middle East and North Africa",3714.0
1,"Algeria",1980,"M",15,64,35.97,42.60,3.92,18.86,10.81,2.58,1.13,4.015,2.682,1.259,0.074,"DZA","Middle East and North Africa",4695.0
1,"Algeria",1985,"M",15,64,25.59,45.48,20.78,25.07,14.61,3.86,1.92,5.550,3.723,1.711,0.116,"DZA","Middle East and North Africa",5673.0
1,"Algeria",1990,"M",15,64,19.62,46.24,21.76,28.66,17.39,5.48,2.82,6.307,4.089,2.052,0.166,"DZA","Middle East and North Africa",6771.0
1,"Algeria",1995,"M",15,64,16.44,47.24,27.37,29.85,19.05,6.46,3.57,6.836,4.417,2.218,0.201,"DZA","Middle East and North Africa",8061.0
1,"Algeria",2000,"M",15,64,14.02,52.72,33.86,25.80,17.56,7.47,4.27,6.846,4.593,2.018,0.235,"DZA","Middle East and North Africa",9472.0
