BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,WBcode,region_code,pop
1,"Algeria",1950,"F",15,64,84.65,13.84,3.01,1.35,0.38,0.15,0.08,0.677,0.596,0.076,0.005,"DZA","Middle East and North Africa",2335.0
1,"Algeria",1955,"F",15,64,85.23,13.09,2.84,1.56,0.37,0.14,0.08,0.667,0.579,0.083,0.004,"DZA","Middle East and North Africa",2588.0
1,"Algeria",1960,"F",15,64,87.98,9.97,2.22,1.92,0.64,0.13,0.07,0.598,0.489,0.105,0.004,"DZA","Middle East and North Africa",2827.0
1,"Algeria",1965,"F",15,64,89.62,8.02,2.17,2.24,0.89,0.13,0.06,0.576,0.447,0.125,0.004,"DZA","Middle East and North Africa",3013.0
1,"Algeria",1970,"F",15,64,86.28,9.57,2.89,3.94,2.15,0.12,0.05,0.851,0.618,0.231,0.003,"DZA","Middle East and North Africa",3453.0
1,"Algeria",1975,"F",15,64,77.98,15.52,2.91,6.18,3.71,0.31,0.13,1.332,0.943,0.380,0.009,"DZA","Middle East and North Africa",4009.0
1,"Algeria",1980,"F",15,64,69.77,19.90,3.52,9.62,5.89,0.71,0.31,1.954,1.322,0.611,0.020,"DZA","Middle East and North Africa",4737.0
1,"Algeria",1985,"F",15,64,59.57,24.23,9.95,14.63,9.23,1.57,0.74,3.016,1.997,0.972,0.046,"DZA","Middle East and North Africa",5677.0
1,"Algeria",1990,"F",15,64,51.36,27.64,11.79,18.62,12.21,2.37,1.24,3.792,2.443,1.277,0.072,"DZA","Middle East and North Africa",6722.0
1,"Algeria",1995,"F",15,64,42.07,32.35,16.67,22.06,14.94,3.52,1.92,4.691,3.005,1.577,0.109,"DZA","Middle East and North Africa",7954.0
1,"Algeria",2000,"F",15,64,34.37,38.03,21.48,21.76,15.06,5.85,3.18,5.276,3.441,1.654,0.181,"DZA","Middle East and North Africa",9321.0
1,"Algeria",2005,"F",15,64,28.36,40.85,25.07,21.18,15.08,9.60,5.12,5.941,3.825,1.822,0.294,"DZA","Middle East and North Africa",10693.0
1,"Algeria",2010,"F",15,64,23.64,38.76,22.77,24.15,17.50,13.45,7.31,6.712,4.102,2.195,0.415,"DZA","Middle East and North Africa",11961.0
1,"Algeria",2015,"F",15,64,18.52,35.64,20.86,28.35,20.90,17.49,9.91,7.620,4.338,2.734,0.548,"DZA","Middle East and North Africa",12878.0
3,"Benin",1950,"F",15,64,95.76,2.85,0.98,1.33,0.28,0.07,0.04,0.267,0.198,0.066,0.002,"BEN","Sub-Saharan Africa",571.0
3,"Benin",1955,"F",15,64,94.94,3.45,1.21,1.54,0.32,0.08,0.04,0.316,0.237,0.077,0.002,"BEN","Sub-Saharan Africa",584.0
3,"Benin",1960,"F",15,64,94.08,4.07,1.49,1.77,0.37,0.08,0.04,0.368,0.278,0.087,0.003,"BEN","Sub-Saharan Africa",607.0
3,"Benin",1965,"F",15,64,93.25,4.63,1.82,2.04,0.40,0.09,0.05,0.423,0.321,0.100,0.003,"BEN","Sub-Saharan Africa",671.0
3,"Benin",1970,"F",15,64,92.46,5.28,2.29,2.17,0.41,0.09,0.05,0.471,0.363,0.105,0.003,"BEN","Sub-Saharan Africa",758.0
3,"Benin",1975,"F",15,64,91.54,5.96,2.84,2.41,0.43,0.09,0.05,0.532,0.414,0.116,0.003,"BEN","Sub-Saharan Africa",868.0
3,"Benin",1980,"F",15,64,89.52,7.08,3.69,3.38,0.79,0.08,0.05,0.698,0.531,0.165,0.003,"BEN","Sub-Saharan Africa",990.0
3,"Benin",1985,"F",15,64,85.38,9.03,5.11,5.38,1.59,0.21,0.11,1.043,0.760,0.277,0.006,"BEN","Sub-Saharan Africa",1139.0
3,"Benin",1990,"F",15,64,80.85,11.72,7.13,7.11,2.96,0.32,0.19,1.417,1.011,0.395,0.010,"BEN","Sub-Saharan Africa",1327.0
3,"Benin",1995,"F",15,64,76.80,14.02,8.86,8.61,4.19,0.57,0.32,1.765,1.237,0.510,0.018,"BEN","Sub-Saharan Africa",1583.0
3,"Benin",2000,"F",15,64,73.19,14.93,9.68,11.09,6.14,0.82,0.47,2.163,1.453,0.685,0.026,"BEN","Sub-Saharan Africa",1867.0
3,"Benin",2005,"F",15,64,69.21,14.54,9.71,15.32,9.18,0.94,0.54,2.686,1.703,0.954,0.030,"BEN","Sub-Saharan Africa",2220.0
3,"Benin",2010,"F",15,64,63.19,14.60,11.35,21.15,14.05,1.05,0.61,3.486,2.111,1.341,0.033,"BEN","Sub-Saharan Africa",2612.0
3,"Benin",2015,"F",15,64,53.81,21.30,15.79,21.36,14.11,3.44,1.80,4.225,2.601,1.519,0.105,"BEN","Sub-Saharan Africa",2864.0
4,"Botswana",1950,"F",15,64,67.63,30.56,5.80,1.72,0.38,0.09,0.05,1.465,1.399,0.064,0.003,"BWA","Sub-Saharan Africa",123.0
4,"Botswana",1955,"F",15,64,67.10,31.06,6.13,1.75,0.39,0.09,0.05,1.498,1.431,0.065,0.003,"BWA","Sub-Saharan Africa",136.0
4,"Botswana",1960,"F",15,64,66.93,31.18,6.85,1.80,0.40,0.09,0.05,1.533,1.463,0.067,0.003,"BWA","Sub-Saharan Africa",146.0
4,"Botswana",1965,"F",15,64,61.57,36.08,8.62,2.23,0.36,0.06,0.04,1.804,1.725,0.077,0.002,"BWA","Sub-Saharan Africa",164.0
4,"Botswana",1970,"F",15,64,51.98,43.32,7.86,4.35,0.65,0.37,0.19,2.294,2.122,0.162,0.011,"BWA","Sub-Saharan Africa",190.0
4,"Botswana",1975,"F",15,64,47.61,46.14,17.21,5.97,1.12,0.28,0.14,2.878,2.654,0.215,0.008,"BWA","Sub-Saharan Africa",227.0
4,"Botswana",1980,"F",15,64,40.82,49.45,16.94,9.52,1.92,0.17,0.10,3.340,3.002,0.333,0.005,"BWA","Sub-Saharan Africa",272.0
4,"Botswana",1985,"F",15,64,32.72,32.02,16.12,33.71,9.11,1.54,0.82,5.471,4.153,1.271,0.047,"BWA","Sub-Saharan Africa",321.0
4,"Botswana",1990,"F",15,64,23.25,14.79,7.01,59.56,26.56,2.40,1.44,7.615,5.100,2.438,0.077,"BWA","Sub-Saharan Africa",385.0
4,"Botswana",1995,"F",15,64,16.79,11.64,5.83,68.64,27.72,2.93,1.67,8.474,5.622,2.760,0.092,"BWA","Sub-Saharan Africa",460.0
4,"Botswana",2000,"F",15,64,12.76,8.83,4.51,75.74,29.80,2.67,1.67,9.044,5.955,3.002,0.087,"BWA","Sub-Saharan Africa",526.0
4,"Botswana",2005,"F",15,64,9.91,6.72,3.63,80.51,30.12,2.86,1.68,9.449,6.198,3.161,0.091,"BWA","Sub-Saharan Africa",533.0
4,"Botswana",2010,"F",15,64,7.11,5.44,3.55,83.96,29.42,3.49,1.91,9.826,6.436,3.282,0.108,"BWA","Sub-Saharan Africa",521.0
4,"Botswana",2015,"F",15,64,5.16,5.99,4.46,81.58,29.06,7.27,3.84,10.199,6.585,3.392,0.222,"BWA","Sub-Saharan Africa",686.0
6,"Burundi",1950,"F",15,64,96.18,3.51,1.44,0.25,0.07,0.04,0.02,0.206,0.193,0.012,0.001,"BDI","Sub-Saharan Africa",724.0
6,"Burundi",1955,"F",15,64,95.55,4.09,1.70,0.30,0.09,0.04,0.02,0.242,0.227,0.014,0.001,"BDI","Sub-Saharan Africa",769.0
6,"Burundi",1960,"F",15,64,92.31,7.01,3.00,0.58,0.21,0.09,0.04,0.428,0.397,0.029,0.002,"BDI","Sub-Saharan Africa",825.0
6,"Burundi",1965,"F",15,64,89.45,9.59,4.21,0.84,0.31,0.12,0.06,0.595,0.550,0.042,0.004,"BDI","Sub-Saharan Africa",884.0
6,"Burundi",1970,"F",15,64,87.73,11.06,5.10,1.08,0.41,0.12,0.06,0.706,0.650,0.052,0.004,"BDI","Sub-Saharan Africa",971.0
6,"Burundi",1975,"F",15,64,86.29,12.27,5.97,1.31,0.50,0.13,0.07,0.805,0.739,0.062,0.004,"BDI","Sub-Saharan Africa",1004.0
6,"Burundi",1980,"F",15,64,83.73,14.44,7.52,1.65,0.68,0.18,0.09,0.983,0.897,0.081,0.005,"BDI","Sub-Saharan Africa",1134.0
6,"Burundi",1985,"F",15,64,81.38,16.43,9.09,1.98,0.87,0.22,0.12,1.105,0.999,0.098,0.007,"BDI","Sub-Saharan Africa",1342.0
6,"Burundi",1990,"F",15,64,77.96,19.22,11.32,2.60,1.22,0.22,0.13,1.366,1.231,0.128,0.007,"BDI","Sub-Saharan Africa",1517.0
6,"Burundi",1995,"F",15,64,71.16,25.15,15.83,3.45,1.68,0.24,0.14,1.756,1.570,0.178,0.008,"BDI","Sub-Saharan Africa",1601.0
6,"Burundi",2000,"F",15,64,64.39,30.72,20.35,4.56,2.17,0.33,0.19,2.178,1.918,0.250,0.010,"BDI","Sub-Saharan Africa",1677.0
6,"Burundi",2005,"F",15,64,60.57,32.79,22.62,6.21,3.06,0.43,0.24,2.496,2.129,0.354,0.013,"BDI","Sub-Saharan Africa",2039.0
6,"Burundi",2010,"F",15,64,56.44,34.16,27.15,8.89,4.55,0.51,0.29,3.067,2.572,0.479,0.016,"BDI","Sub-Saharan Africa",2473.0
6,"Burundi",2015,"F",15,64,54.61,35.55,16.92,8.89,4.14,0.95,0.43,2.921,2.423,0.470,0.028,"BDI","Sub-Saharan Africa",2708.0
7,"Cameroon",1950,"F",15,64,94.79,3.85,1.30,1.31,0.34,0.04,0.02,0.303,0.236,0.066,0.001,"CMR","Sub-Saharan Africa",1300.0
7,"Cameroon",1955,"F",15,64,92.89,5.58,2.01,1.48,0.40,0.05,0.03,0.395,0.319,0.075,0.002,"CMR","Sub-Saharan Africa",1407.0
7,"Cameroon",1960,"F",15,64,90.69,7.60,2.88,1.65,0.46,0.06,0.03,0.503,0.417,0.084,0.002,"CMR","Sub-Saharan Africa",1529.0
7,"Cameroon",1965,"F",15,64,85.73,11.90,4.97,2.28,0.71,0.08,0.04,0.769,0.648,0.118,0.002,"CMR","Sub-Saharan Africa",1670.0
7,"Cameroon",1970,"F",15,64,79.69,17.18,7.78,3.02,0.98,0.10,0.05,1.097,0.936,0.157,0.003,"CMR","Sub-Saharan Africa",1840.0
7,"Cameroon",1975,"F",15,64,69.54,25.11,12.33,5.24,1.92,0.10,0.05,1.720,1.443,0.274,0.003,"CMR","Sub-Saharan Africa",2044.0
7,"Cameroon",1980,"F",15,64,59.93,32.00,16.68,7.94,3.16,0.13,0.06,2.370,1.945,0.422,0.004,"CMR","Sub-Saharan Africa",2321.0
7,"Cameroon",1985,"F",15,64,50.06,38.64,21.43,11.17,4.78,0.13,0.07,3.083,2.480,0.599,0.004,"CMR","Sub-Saharan Africa",2631.0
7,"Cameroon",1990,"F",15,64,40.55,44.47,25.97,14.88,6.83,0.11,0.06,3.823,3.012,0.807,0.003,"CMR","Sub-Saharan Africa",3040.0
7,"Cameroon",1995,"F",15,64,32.13,49.58,30.03,18.10,8.81,0.19,0.10,4.494,3.486,1.002,0.006,"CMR","Sub-Saharan Africa",3515.0
7,"Cameroon",2000,"F",15,64,26.53,52.33,32.65,20.16,10.08,0.98,0.42,5.024,3.818,1.178,0.028,"CMR","Sub-Saharan Africa",4024.0
