BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",2015,"F",15,24,1.6,8.8,8.8,89.5,59.4,0.0,0.0,11.66,6.89,4.77,0.00,1524
131,"AUS","Advanced Economies","Australia",2020,"F",15,24,1.2,10.0,10.0,86.5,58.9,2.3,0.7,11.75,6.91,4.78,0.06,1547
131,"AUS","Advanced Economies","Australia",2025,"F",15,24,0.5,11.2,11.2,83.9,57.9,4.6,1.5,11.90,6.98,4.79,0.12,1643
131,"AUS","Advanced Economies","Australia",2030,"F",15,24,0.3,11.5,11.5,81.8,58.1,6.4,2.1,11.97,6.98,4.82,0.17,1789
131,"AUS","Advanced Economies","Australia",2035,"F",15,24,0.1,11.7,11.7,80.7,59.2,7.7,2.6,12.09,7.01,4.87,0.21,1888
131,"AUS","Advanced Economies","Australia",2040,"F",15,24,0.1,11.9,11.9,79.6,60.1,8.6,3.0,12.14,7.01,4.90,0.23,1931
107,"AUT","Advanced Economies","Austria",2015,"F",15,24,0.5,28.4,26.5,71.0,45.8,0.0,0.0,8.62,3.94,4.67,0.00,490
107,"AUT","Advanced Economies","Austria",2020,"F",15,24,1.5,26.6,25.3,69.4,45.7,2.5,0.7,8.78,3.91,4.80,0.06,455
107,"AUT","Advanced Economies","Austria",2025,"F",15,24,1.7,26.1,25.0,65.0,42.6,7.1,2.4,8.97,3.91,4.87,0.19,442
107,"AUT","Advanced Economies","Austria",2030,"F",15,24,1.4,26.3,25.3,60.8,39.7,11.5,4.0,9.17,3.92,4.94,0.31,452
107,"AUT","Advanced Economies","Austria",2035,"F",15,24,1.1,26.2,25.3,57.3,38.0,15.4,5.3,9.39,3.94,5.04,0.41,472
107,"AUT","Advanced Economies","Austria",2040,"F",15,24,0.9,26.3,25.4,53.5,36.0,19.3,6.8,9.60,3.95,5.13,0.52,485
108,"BEL","Advanced Economies","Belgium",2015,"F",15,24,0.1,13.0,11.3,71.8,44.5,15.1,8.6,10.54,5.94,4.12,0.47,632
108,"BEL","Advanced Economies","Belgium",2020,"F",15,24,0.1,14.1,13.0,67.4,43.1,18.4,10.2,10.71,5.96,4.18,0.57,607
108,"BEL","Advanced Economies","Belgium",2025,"F",15,24,0.1,14.3,13.8,64.1,39.6,21.6,11.7,10.80,5.98,4.16,0.67,639
108,"BEL","Advanced Economies","Belgium",2030,"F",15,24,0.1,13.9,13.9,60.9,37.8,25.1,13.6,11.00,5.99,4.24,0.77,667
108,"BEL","Advanced Economies","Belgium",2035,"F",15,24,0.1,13.9,13.9,58.8,36.0,27.3,14.6,11.09,5.99,4.25,0.84,669
108,"BEL","Advanced Economies","Belgium",2040,"F",15,24,0.1,13.8,13.8,57.2,34.9,28.9,15.5,11.16,5.99,4.27,0.89,664
50,"CAN","Advanced Economies","Canada",2015,"F",15,24,0.1,2.7,2.2,66.2,39.6,31.0,9.3,11.82,5.98,5.03,0.81,2169
50,"CAN","Advanced Economies","Canada",2020,"F",15,24,0.1,1.9,1.8,63.3,39.5,34.6,10.1,12.05,5.99,5.16,0.90,2077
50,"CAN","Advanced Economies","Canada",2025,"F",15,24,0.1,1.4,1.4,61.7,39.1,36.8,10.5,12.17,5.99,5.23,0.95,2135
50,"CAN","Advanced Economies","Canada",2030,"F",15,24,0.1,1.1,1.1,59.3,37.2,39.5,11.2,12.27,5.99,5.26,1.01,2283
50,"CAN","Advanced Economies","Canada",2035,"F",15,24,0.1,0.9,0.9,57.4,35.7,41.6,11.7,12.35,5.99,5.29,1.07,2402
50,"CAN","Advanced Economies","Canada",2040,"F",15,24,0.1,1.1,1.1,55.5,34.3,43.3,12.2,12.40,5.99,5.30,1.11,2475
110,"DNK","Advanced Economies","Denmark",2015,"F",15,24,1.7,0.0,0.0,86.7,35.0,11.8,4.7,10.60,5.91,4.36,0.33,351
110,"DNK","Advanced Economies","Denmark",2020,"F",15,24,1.6,0.4,0.3,86.0,36.8,12.2,4.9,10.67,5.91,4.42,0.34,346
110,"DNK","Advanced Economies","Denmark",2025,"F",15,24,1.4,0.6,0.5,86.1,38.5,12.1,4.9,10.72,5.92,4.46,0.34,341
110,"DNK","Advanced Economies","Denmark",2030,"F",15,24,1.4,0.6,0.5,86.0,40.7,12.2,4.9,10.79,5.92,4.53,0.34,337
110,"DNK","Advanced Economies","Denmark",2035,"F",15,24,1.4,0.6,0.5,86.3,42.0,11.9,4.8,10.82,5.92,4.56,0.33,339
110,"DNK","Advanced Economies","Denmark",2040,"F",15,24,1.3,0.6,0.5,86.4,43.6,11.8,4.7,10.87,5.93,4.61,0.33,353
111,"FIN","Advanced Economies","Finland",2015,"F",15,24,1.5,45.1,42.5,49.0,36.9,4.4,1.1,8.79,5.83,2.84,0.11,316
111,"FIN","Advanced Economies","Finland",2020,"F",15,24,1.2,46.6,44.6,47.9,36.8,4.3,1.1,8.77,5.87,2.80,0.11,295
111,"FIN","Advanced Economies","Finland",2025,"F",15,24,0.8,48.8,46.9,46.3,36.3,4.1,1.0,8.73,5.90,2.72,0.10,299
111,"FIN","Advanced Economies","Finland",2030,"F",15,24,0.5,48.4,46.7,46.9,38.0,4.2,1.1,8.82,5.92,2.80,0.10,311
111,"FIN","Advanced Economies","Finland",2035,"F",15,24,0.3,48.4,46.8,47.1,39.6,4.2,1.1,8.90,5.94,2.85,0.11,316
111,"FIN","Advanced Economies","Finland",2040,"F",15,24,0.2,48.2,46.6,47.4,41.6,4.2,1.1,8.97,5.94,2.92,0.11,316
112,"FRA","Advanced Economies","France",2015,"F",15,24,0.8,0.9,0.9,80.8,45.9,17.6,4.4,11.25,4.97,5.84,0.44,3863
112,"FRA","Advanced Economies","France",2020,"F",15,24,0.8,0.9,0.9,76.3,46.6,22.1,5.5,11.52,4.97,6.00,0.55,3915
112,"FRA","Advanced Economies","France",2025,"F",15,24,0.8,0.9,0.9,72.2,43.9,26.2,6.6,11.67,4.97,6.04,0.66,3941
112,"FRA","Advanced Economies","France",2030,"F",15,24,0.8,0.9,0.9,68.7,40.9,29.8,7.4,11.77,4.97,6.06,0.74,3989
112,"FRA","Advanced Economies","France",2035,"F",15,24,0.8,0.9,0.9,65.6,38.5,32.8,8.2,11.87,4.97,6.08,0.82,4034
112,"FRA","Advanced Economies","France",2040,"F",15,24,0.8,0.9,0.9,63.2,36.5,35.3,8.8,11.94,4.97,6.09,0.88,4056
190,"DEU","Advanced Economies","Germany",2015,"F",15,24,0.1,0.0,0.0,46.8,19.3,53.2,20.9,13.66,4.00,8.17,1.48,4136
190,"DEU","Advanced Economies","Germany",2020,"F",15,24,0.1,0.0,0.0,43.6,17.7,56.4,22.2,13.79,4.00,8.22,1.57,3851
190,"DEU","Advanced Economies","Germany",2025,"F",15,24,0.1,0.0,0.0,42.1,16.6,57.9,22.7,13.85,4.00,8.24,1.61,3592
190,"DEU","Advanced Economies","Germany",2030,"F",15,24,0.1,0.0,0.0,42.2,16.1,57.8,22.6,13.82,4.00,8.22,1.61,3513
190,"DEU","Advanced Economies","Germany",2035,"F",15,24,0.1,0.0,0.0,41.2,15.5,58.8,23.0,13.86,4.00,8.23,1.64,3563
190,"DEU","Advanced Economies","Germany",2040,"F",15,24,0.1,0.0,0.0,39.8,14.8,60.2,23.6,13.92,4.00,8.25,1.67,3537
114,"GRC","Advanced Economies","Greece",2015,"F",15,24,0.1,9.2,9.2,78.0,47.3,12.7,12.2,11.01,5.99,4.52,0.50,529
114,"GRC","Advanced Economies","Greece",2020,"F",15,24,0.1,10.3,10.3,76.2,45.4,13.4,12.9,10.98,5.99,4.45,0.53,518
114,"GRC","Advanced Economies","Greece",2025,"F",15,24,0.1,10.4,10.4,75.8,43.9,13.7,13.0,10.94,5.99,4.41,0.53,546
114,"GRC","Advanced Economies","Greece",2030,"F",15,24,0.1,10.2,10.2,74.7,44.8,15.0,14.3,11.06,5.99,4.48,0.59,562
114,"GRC","Advanced Economies","Greece",2035,"F",15,24,0.1,10.2,10.2,74.3,44.9,15.4,14.7,11.10,5.99,4.50,0.60,535
114,"GRC","Advanced Economies","Greece",2040,"F",15,24,0.1,10.2,10.2,74.3,44.8,15.4,14.6,11.09,5.99,4.50,0.60,504
116,"ISL","Advanced Economies","Iceland",2015,"F",15,24,1.8,6.3,5.6,44.8,14.7,47.0,20.2,13.42,6.85,5.22,1.34,23
116,"ISL","Advanced Economies","Iceland",2020,"F",15,24,1.4,4.3,4.0,46.7,16.0,47.6,20.4,13.63,6.89,5.38,1.36,22
116,"ISL","Advanced Economies","Iceland",2025,"F",15,24,0.6,3.2,3.0,49.9,17.5,46.3,19.8,13.71,6.95,5.44,1.32,23
116,"ISL","Advanced Economies","Iceland",2030,"F",15,24,0.3,2.2,2.0,49.1,17.4,48.5,20.8,13.92,6.98,5.56,1.38,24
116,"ISL","Advanced Economies","Iceland",2035,"F",15,24,0.1,1.4,1.3,49.2,17.6,49.4,21.2,14.04,6.99,5.64,1.41,25
116,"ISL","Advanced Economies","Iceland",2040,"F",15,24,0.1,0.7,0.7,49.1,17.7,50.1,21.5,14.12,7.00,5.69,1.43,24
117,"IRL","Advanced Economies","Ireland",2015,"F",15,24,0.1,15.7,14.6,62.8,35.7,21.7,16.3,12.40,7.96,3.68,0.76,284
117,"IRL","Advanced Economies","Ireland",2020,"F",15,24,0.1,15.8,15.0,58.2,32.5,26.3,19.3,12.61,7.99,3.71,0.91,304
117,"IRL","Advanced Economies","Ireland",2025,"F",15,24,0.1,16.0,15.3,54.4,29.2,29.8,21.4,12.72,7.99,3.71,1.02,333
117,"IRL","Advanced Economies","Ireland",2030,"F",15,24,0.1,15.6,15.0,50.4,27.2,34.2,24.5,12.94,7.99,3.77,1.17,356
117,"IRL","Advanced Economies","Ireland",2035,"F",15,24,0.1,15.5,14.8,47.6,25.5,37.2,26.6,13.07,8.00,3.80,1.28,352
117,"IRL","Advanced Economies","Ireland",2040,"F",15,24,0.1,15.4,14.8,45.6,24.2,39.3,28.0,13.16,8.00,3.82,1.35,337
118,"ITA","Advanced Economies","Italy",2015,"F",15,24,0.2,0.8,0.8,89.1,46.7,9.9,4.0,11.07,4.99,5.80,0.28,2925
118,"ITA","Advanced Economies","Italy",2020,"F",15,24,0.2,0.1,0.1,87.3,49.1,12.5,5.0,11.41,4.99,6.07,0.35,2907
