BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",2015,"F",15,64,0.7,5.8,4.0,63.5,41.8,30.1,17.0,13.01,6.89,5.18,0.94,7868
131,"AUS","Advanced Economies","Australia",2020,"F",15,64,0.9,4.6,3.7,67.3,47.5,27.2,15.3,13.03,6.91,5.28,0.85,8154
131,"AUS","Advanced Economies","Australia",2025,"F",15,64,0.9,4.4,3.7,70.9,52.7,23.9,13.3,12.99,6.92,5.32,0.74,8453
131,"AUS","Advanced Economies","Australia",2030,"F",15,64,0.8,4.1,3.8,74.3,58.0,20.7,11.4,12.95,6.93,5.38,0.64,8768
131,"AUS","Advanced Economies","Australia",2035,"F",15,64,0.8,4.1,3.9,77.9,62.9,17.3,9.4,12.88,6.94,5.41,0.53,9118
131,"AUS","Advanced Economies","Australia",2040,"F",15,64,0.8,4.1,4.0,81.1,67.8,14.1,7.5,12.82,6.95,5.45,0.43,9433
107,"AUT","Advanced Economies","Austria",2015,"F",15,64,1.6,19.2,16.0,65.3,48.8,13.9,7.8,9.98,3.87,5.67,0.43,2859
107,"AUT","Advanced Economies","Austria",2020,"F",15,64,1.8,16.4,13.9,68.6,53.2,13.2,7.4,10.22,3.88,5.93,0.41,2857
107,"AUT","Advanced Economies","Austria",2025,"F",15,64,1.9,14.5,12.4,66.9,53.3,16.7,9.2,10.55,3.88,6.15,0.52,2812
107,"AUT","Advanced Economies","Austria",2030,"F",15,64,1.9,12.4,10.8,70.0,57.1,15.7,8.5,10.71,3.89,6.34,0.48,2733
107,"AUT","Advanced Economies","Austria",2035,"F",15,64,1.7,10.8,9.7,72.8,60.5,14.7,7.7,10.87,3.91,6.51,0.45,2665
107,"AUT","Advanced Economies","Austria",2040,"F",15,64,1.3,11.0,10.0,73.1,62.0,14.6,7.5,10.93,3.93,6.57,0.44,2648
108,"BEL","Advanced Economies","Belgium",2015,"F",15,64,3.8,7.6,5.2,55.1,38.6,33.5,20.9,11.45,5.70,4.66,1.09,3576
108,"BEL","Advanced Economies","Belgium",2020,"F",15,64,3.2,6.8,4.8,55.3,41.3,34.7,21.7,11.72,5.75,4.84,1.13,3551
108,"BEL","Advanced Economies","Belgium",2025,"F",15,64,2.7,6.7,5.0,55.2,42.8,35.3,22.3,11.88,5.78,4.94,1.15,3513
108,"BEL","Advanced Economies","Belgium",2030,"F",15,64,2.2,6.6,5.3,54.6,44.2,36.6,23.2,12.08,5.83,5.06,1.20,3467
108,"BEL","Advanced Economies","Belgium",2035,"F",15,64,1.9,7.0,6.0,54.1,45.0,36.9,23.6,12.17,5.85,5.10,1.21,3436
108,"BEL","Advanced Economies","Belgium",2040,"F",15,64,1.6,7.5,6.6,53.4,45.6,37.6,24.2,12.26,5.88,5.14,1.24,3426
50,"CAN","Advanced Economies","Canada",2015,"F",15,64,0.4,1.7,0.9,45.8,32.8,52.0,28.6,13.04,5.95,5.48,1.61,12043
