BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",2015,"MF",15,64,0.7,6.3,4.7,65.4,44.2,27.7,15.4,12.92,6.90,5.16,0.86,15756
131,"AUS","Advanced Economies","Australia",2020,"MF",15,64,0.9,5.2,4.3,68.4,48.6,25.4,14.0,12.93,6.90,5.23,0.79,16324
131,"AUS","Advanced Economies","Australia",2025,"MF",15,64,1.1,4.8,4.3,71.3,52.6,22.8,12.4,12.89,6.91,5.27,0.70,16932
131,"AUS","Advanced Economies","Australia",2030,"MF",15,64,1.2,4.5,4.2,74.0,56.6,20.4,10.9,12.85,6.91,5.32,0.63,17592
131,"AUS","Advanced Economies","Australia",2035,"MF",15,64,1.2,4.3,4.2,76.5,60.4,18.0,9.4,12.81,6.91,5.35,0.55,18324
131,"AUS","Advanced Economies","Australia",2040,"MF",15,64,1.3,4.2,4.1,78.8,64.2,15.8,8.1,12.77,6.91,5.38,0.48,18993
107,"AUT","Advanced Economies","Austria",2015,"MF",15,64,1.7,16.6,13.9,66.9,51.8,14.8,8.3,10.27,3.88,5.93,0.46,5726
107,"AUT","Advanced Economies","Austria",2020,"MF",15,64,1.9,14.7,12.5,69.8,55.2,13.6,7.6,10.39,3.88,6.09,0.42,5729
107,"AUT","Advanced Economies","Austria",2025,"MF",15,64,2.1,13.4,11.6,74.1,59.1,10.5,5.7,10.37,3.88,6.16,0.32,5642
107,"AUT","Advanced Economies","Austria",2030,"MF",15,64,2.2,12.0,10.6,75.9,60.9,10.0,5.3,10.46,3.88,6.27,0.30,5488
107,"AUT","Advanced Economies","Austria",2035,"MF",15,64,2.0,10.9,9.8,77.6,62.2,9.6,4.9,10.55,3.90,6.36,0.29,5359
107,"AUT","Advanced Economies","Austria",2040,"MF",15,64,1.5,11.3,10.2,77.5,62.1,9.7,4.8,10.57,3.92,6.36,0.29,5344
108,"BEL","Advanced Economies","Belgium",2015,"MF",15,64,3.5,7.7,5.2,57.9,39.9,30.9,20.9,11.36,5.71,4.61,1.04,7182
108,"BEL","Advanced Economies","Belgium",2020,"MF",15,64,3.0,7.1,4.9,58.8,43.0,31.2,21.1,11.57,5.76,4.77,1.04,7132
108,"BEL","Advanced Economies","Belgium",2025,"MF",15,64,2.6,7.1,5.0,59.4,45.4,31.0,20.9,11.68,5.78,4.86,1.04,7062
108,"BEL","Advanced Economies","Belgium",2030,"MF",15,64,2.1,7.0,5.1,59.6,47.7,31.3,21.1,11.84,5.82,4.98,1.05,6970
108,"BEL","Advanced Economies","Belgium",2035,"MF",15,64,1.8,7.5,5.7,59.8,49.4,31.0,20.9,11.90,5.84,5.03,1.04,6908
108,"BEL","Advanced Economies","Belgium",2040,"MF",15,64,1.5,7.9,6.2,59.7,50.8,31.0,20.9,11.98,5.86,5.08,1.04,6894
50,"CAN","Advanced Economies","Canada",2015,"MF",15,64,0.5,1.8,0.9,51.0,36.3,46.8,26.3,12.83,5.94,5.42,1.46,24217
50,"CAN","Advanced Economies","Canada",2020,"MF",15,64,0.4,1.4,0.8,50.9,37.6,47.3,26.7,12.93,5.96,5.49,1.48,24479
50,"CAN","Advanced Economies","Canada",2025,"MF",15,64,0.4,1.2,0.7,51.0,38.8,47.4,26.7,12.98,5.96,5.54,1.48,24551
50,"CAN","Advanced Economies","Canada",2030,"MF",15,64,0.4,1.1,0.7,50.9,39.9,47.7,26.8,13.05,5.97,5.59,1.49,24617
50,"CAN","Advanced Economies","Canada",2035,"MF",15,64,0.4,1.0,0.7,51.1,41.1,47.6,26.5,13.08,5.97,5.62,1.48,25112
50,"CAN","Advanced Economies","Canada",2040,"MF",15,64,0.4,0.9,0.7,50.9,42.0,47.9,26.5,13.13,5.98,5.66,1.49,25720
110,"DNK","Advanced Economies","Denmark",2015,"MF",15,64,3.2,0.1,0.1,68.6,41.4,28.1,15.2,11.67,5.81,4.99,0.87,3626
110,"DNK","Advanced Economies","Denmark",2020,"MF",15,64,3.3,0.1,0.1,68.0,41.8,28.6,15.3,11.69,5.80,5.01,0.88,3645
110,"DNK","Advanced Economies","Denmark",2025,"MF",15,64,3.4,0.1,0.1,67.8,41.7,28.7,15.3,11.69,5.80,5.01,0.88,3658
110,"DNK","Advanced Economies","Denmark",2030,"MF",15,64,3.4,0.2,0.2,67.6,41.8,28.8,15.3,11.69,5.80,5.01,0.88,3636
110,"DNK","Advanced Economies","Denmark",2035,"MF",15,64,3.3,0.3,0.2,68.2,41.9,28.2,14.9,11.66,5.80,5.00,0.86,3623
110,"DNK","Advanced Economies","Denmark",2040,"MF",15,64,3.2,0.3,0.3,68.7,41.9,27.7,14.5,11.63,5.80,4.98,0.84,3645
111,"FIN","Advanced Economies","Finland",2015,"MF",15,64,0.4,22.0,18.8,49.2,36.1,28.4,11.5,10.94,5.88,4.26,0.80,3448
111,"FIN","Advanced Economies","Finland",2020,"MF",15,64,0.4,19.8,17.2,53.0,40.7,26.8,10.2,11.05,5.90,4.42,0.74,3370
111,"FIN","Advanced Economies","Finland",2025,"MF",15,64,0.4,19.7,17.4,55.9,44.0,24.0,8.6,10.99,5.90,4.44,0.65,3328
111,"FIN","Advanced Economies","Finland",2030,"MF",15,64,0.5,19.3,17.3,59.1,48.0,21.1,7.1,10.96,5.91,4.48,0.57,3297
111,"FIN","Advanced Economies","Finland",2035,"MF",15,64,0.4,19.2,17.3,62.6,52.4,17.8,5.7,10.90,5.92,4.52,0.47,3291
111,"FIN","Advanced Economies","Finland",2040,"MF",15,64,0.4,18.9,17.2,65.9,56.7,14.8,4.5,10.88,5.92,4.57,0.39,3328
112,"FRA","Advanced Economies","France",2015,"MF",15,64,1.2,5.9,5.3,65.0,43.8,28.0,12.3,11.60,4.93,5.87,0.81,41053
112,"FRA","Advanced Economies","France",2020,"MF",15,64,1.1,3.6,3.1,65.3,45.6,30.1,13.2,11.89,4.94,6.09,0.86,41117
112,"FRA","Advanced Economies","France",2025,"MF",15,64,1.2,2.6,2.3,64.0,46.7,32.2,14.0,12.08,4.94,6.22,0.93,41170
112,"FRA","Advanced Economies","France",2030,"MF",15,64,1.3,1.8,1.6,62.4,47.6,34.7,15.1,12.29,4.94,6.36,1.00,41121
112,"FRA","Advanced Economies","France",2035,"MF",15,64,1.4,1.3,1.1,61.1,48.1,36.4,15.8,12.42,4.94,6.44,1.04,41117
112,"FRA","Advanced Economies","France",2040,"MF",15,64,1.5,0.8,0.7,59.5,48.4,38.5,16.6,12.57,4.94,6.53,1.10,41123
190,"DEU","Advanced Economies","Germany",2015,"MF",15,64,1.8,1.2,1.0,68.9,47.0,28.2,14.5,12.86,3.93,8.08,0.85,54168
190,"DEU","Advanced Economies","Germany",2020,"MF",15,64,1.6,1.1,0.9,63.9,43.8,33.4,17.3,13.10,3.93,8.16,1.01,52396
190,"DEU","Advanced Economies","Germany",2025,"MF",15,64,1.4,1.1,0.9,58.6,40.8,39.0,20.2,13.38,3.94,8.25,1.18,49989
190,"DEU","Advanced Economies","Germany",2030,"MF",15,64,1.1,1.0,0.8,53.2,37.4,44.8,23.3,13.66,3.95,8.35,1.36,46731
190,"DEU","Advanced Economies","Germany",2035,"MF",15,64,0.8,0.8,0.7,46.8,33.0,51.6,26.7,13.97,3.97,8.44,1.57,43876
190,"DEU","Advanced Economies","Germany",2040,"MF",15,64,0.7,0.7,0.5,40.5,28.8,58.3,30.3,14.28,3.97,8.54,1.77,42548
114,"GRC","Advanced Economies","Greece",2015,"MF",15,64,0.7,17.2,16.7,52.7,38.7,29.5,27.8,11.60,5.95,4.51,1.15,7242
114,"GRC","Advanced Economies","Greece",2020,"MF",15,64,0.6,13.5,13.2,56.3,42.9,29.6,27.9,11.86,5.96,4.75,1.15,7073
114,"GRC","Advanced Economies","Greece",2025,"MF",15,64,0.5,11.6,11.3,59.3,46.5,28.6,26.9,11.96,5.96,4.89,1.11,6943
114,"GRC","Advanced Economies","Greece",2030,"MF",15,64,0.4,9.5,9.3,62.2,50.5,27.9,26.2,12.11,5.97,5.06,1.08,6785
114,"GRC","Advanced Economies","Greece",2035,"MF",15,64,0.4,8.7,8.6,64.5,54.4,26.4,24.9,12.15,5.97,5.15,1.03,6513
114,"GRC","Advanced Economies","Greece",2040,"MF",15,64,0.3,8.0,7.8,66.8,58.4,24.9,23.4,12.20,5.98,5.25,0.97,6224
116,"ISL","Advanced Economies","Iceland",2015,"MF",15,64,1.8,19.9,16.2,35.2,20.6,43.1,22.6,12.95,6.74,4.89,1.31,222
116,"ISL","Advanced Economies","Iceland",2020,"MF",15,64,1.8,16.6,13.6,30.7,18.0,50.9,26.8,13.53,6.77,5.21,1.55,228
116,"ISL","Advanced Economies","Iceland",2025,"MF",15,64,1.6,13.2,10.9,27.4,15.6,57.8,30.5,14.07,6.81,5.49,1.77,234
116,"ISL","Advanced Economies","Iceland",2030,"MF",15,64,1.4,10.2,8.5,23.1,12.7,65.3,34.5,14.61,6.84,5.77,2.00,238
116,"ISL","Advanced Economies","Iceland",2035,"MF",15,64,1.3,7.9,6.6,18.5,9.4,72.3,38.2,15.07,6.86,5.99,2.21,243
116,"ISL","Advanced Economies","Iceland",2040,"MF",15,64,1.1,5.9,5.0,14.6,6.8,78.4,41.5,15.48,6.89,6.19,2.40,246
117,"IRL","Advanced Economies","Ireland",2015,"MF",15,64,0.5,9.5,8.0,45.8,29.9,44.2,30.5,13.57,7.90,4.18,1.49,3108
117,"IRL","Advanced Economies","Ireland",2020,"MF",15,64,0.4,8.0,6.9,46.4,32.4,45.1,31.1,13.74,7.92,4.30,1.53,3208
