BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",2015,"M",15,24,1.8,11.4,11.4,80.8,49.7,6.2,1.9,11.64,6.89,4.60,0.16,1588
131,"AUS","Advanced Economies","Australia",2020,"M",15,24,1.8,11.6,11.6,78.0,48.7,8.7,2.7,11.72,6.88,4.61,0.23,1599
131,"AUS","Advanced Economies","Australia",2025,"M",15,24,1.6,12.4,12.4,76.1,48.2,10.1,3.1,11.79,6.90,4.62,0.26,1697
131,"AUS","Advanced Economies","Australia",2030,"M",15,24,1.4,12.7,12.7,74.4,48.4,11.6,3.5,11.84,6.90,4.64,0.30,1854
131,"AUS","Advanced Economies","Australia",2035,"M",15,24,1.2,12.8,12.8,73.1,49.2,13.1,4.0,11.96,6.93,4.69,0.34,1963
131,"AUS","Advanced Economies","Australia",2040,"M",15,24,0.8,13.0,13.0,71.7,49.7,14.2,4.4,12.02,6.93,4.72,0.37,2012
107,"AUT","Advanced Economies","Austria",2015,"M",15,24,0.7,30.3,27.0,69.0,41.4,0.0,0.0,8.32,3.91,4.42,0.00,509
107,"AUT","Advanced Economies","Austria",2020,"M",15,24,2.0,27.4,25.0,69.8,40.3,0.7,0.3,8.36,3.87,4.46,0.02,473
107,"AUT","Advanced Economies","Austria",2025,"M",15,24,2.4,27.0,25.1,68.2,37.8,2.4,0.7,8.36,3.87,4.43,0.06,460
107,"AUT","Advanced Economies","Austria",2030,"M",15,24,2.2,27.7,26.2,66.2,34.8,3.8,1.2,8.33,3.88,4.35,0.10,472
107,"AUT","Advanced Economies","Austria",2035,"M",15,24,2.0,27.7,26.3,64.4,32.6,5.9,2.0,8.40,3.89,4.35,0.16,493
107,"AUT","Advanced Economies","Austria",2040,"M",15,24,1.8,27.6,26.4,63.4,31.0,7.1,2.4,8.44,3.90,4.34,0.19,507
108,"BEL","Advanced Economies","Belgium",2015,"M",15,24,0.1,15.8,11.6,72.2,42.6,12.0,7.7,10.13,5.87,3.87,0.39,653
108,"BEL","Advanced Economies","Belgium",2020,"M",15,24,0.1,16.0,13.6,72.4,45.6,11.6,7.4,10.26,5.92,3.96,0.38,628
108,"BEL","Advanced Economies","Belgium",2025,"M",15,24,0.1,16.2,13.9,71.8,46.4,11.9,7.5,10.32,5.93,4.01,0.39,663
108,"BEL","Advanced Economies","Belgium",2030,"M",15,24,0.1,15.7,13.4,70.6,46.4,13.6,8.5,10.45,5.93,4.08,0.44,693
108,"BEL","Advanced Economies","Belgium",2035,"M",15,24,0.1,15.3,13.7,69.3,45.3,15.4,9.5,10.56,5.95,4.12,0.50,695
108,"BEL","Advanced Economies","Belgium",2040,"M",15,24,0.1,14.9,14.0,67.6,44.0,17.4,10.7,10.69,5.97,4.16,0.56,691
50,"CAN","Advanced Economies","Canada",2015,"M",15,24,0.1,1.7,1.0,78.1,44.9,20.2,5.7,11.41,5.98,4.91,0.52,2257
50,"CAN","Advanced Economies","Canada",2020,"M",15,24,0.1,0.7,0.5,78.1,45.9,21.6,5.9,11.58,6.02,5.01,0.55,2163
50,"CAN","Advanced Economies","Canada",2025,"M",15,24,0.1,0.7,0.5,76.5,46.7,23.0,6.2,11.67,6.01,5.08,0.58,2225
50,"CAN","Advanced Economies","Canada",2030,"M",15,24,0.1,0.8,0.7,74.3,49.3,24.9,6.6,11.83,6.00,5.20,0.63,2377
50,"CAN","Advanced Economies","Canada",2035,"M",15,24,0.1,0.9,0.8,72.1,47.5,27.3,7.2,11.93,6.01,5.23,0.69,2506
50,"CAN","Advanced Economies","Canada",2040,"M",15,24,0.1,0.6,0.6,70.2,46.0,29.7,7.7,12.05,6.03,5.27,0.75,2583
110,"DNK","Advanced Economies","Denmark",2015,"M",15,24,1.7,0.0,0.0,73.3,19.1,24.9,9.4,10.85,5.89,4.27,0.69,367
110,"DNK","Advanced Economies","Denmark",2020,"M",15,24,1.6,0.4,0.3,71.9,17.9,26.0,9.8,10.86,5.90,4.25,0.72,359
110,"DNK","Advanced Economies","Denmark",2025,"M",15,24,1.4,0.6,0.5,72.3,16.7,25.7,9.7,10.82,5.91,4.21,0.71,354
110,"DNK","Advanced Economies","Denmark",2030,"M",15,24,1.4,0.6,0.5,72.1,15.9,25.8,9.7,10.81,5.91,4.19,0.71,351
110,"DNK","Advanced Economies","Denmark",2035,"M",15,24,1.4,0.6,0.5,72.6,14.6,25.4,9.5,10.75,5.91,4.14,0.70,353
110,"DNK","Advanced Economies","Denmark",2040,"M",15,24,1.4,0.6,0.5,72.8,13.5,25.2,9.5,10.70,5.91,4.10,0.69,368
111,"FIN","Advanced Economies","Finland",2015,"M",15,24,0.4,48.6,43.4,42.8,31.6,8.2,2.7,8.76,5.82,2.72,0.22,330
111,"FIN","Advanced Economies","Finland",2020,"M",15,24,0.8,49.4,45.1,41.6,32.0,8.2,2.7,8.74,5.82,2.70,0.22,311
111,"FIN","Advanced Economies","Finland",2025,"M",15,24,0.7,50.8,47.3,40.5,32.6,8.0,2.6,8.73,5.85,2.67,0.21,316
111,"FIN","Advanced Economies","Finland",2030,"M",15,24,0.4,50.6,47.8,40.9,34.8,8.1,2.6,8.86,5.89,2.76,0.21,327
111,"FIN","Advanced Economies","Finland",2035,"M",15,24,0.2,50.6,48.1,41.1,36.3,8.1,2.7,8.93,5.91,2.81,0.22,332
