BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",2015,"MF",15,24,1.7,10.2,10.2,85.1,54.3,3.2,1.0,11.65,6.89,4.68,0.08,3112
131,"AUS","Advanced Economies","Australia",2020,"MF",15,24,1.5,10.8,10.8,82.2,53.6,5.5,1.8,11.73,6.89,4.69,0.15,3146
131,"AUS","Advanced Economies","Australia",2025,"MF",15,24,1.1,11.8,11.8,79.9,52.9,7.4,2.4,11.84,6.94,4.70,0.20,3340
131,"AUS","Advanced Economies","Australia",2030,"MF",15,24,0.8,12.1,12.1,78.0,53.1,9.0,2.9,11.90,6.94,4.72,0.24,3644
131,"AUS","Advanced Economies","Australia",2035,"MF",15,24,0.6,12.3,12.3,76.8,54.0,10.4,3.4,12.02,6.97,4.78,0.28,3851
131,"AUS","Advanced Economies","Australia",2040,"MF",15,24,0.5,12.5,12.5,75.6,54.7,11.5,3.7,12.08,6.97,4.81,0.30,3943
107,"AUT","Advanced Economies","Austria",2015,"MF",15,24,0.6,29.4,26.7,70.0,43.6,0.0,0.0,8.47,3.92,4.54,0.00,999
107,"AUT","Advanced Economies","Austria",2020,"MF",15,24,1.8,27.0,25.1,69.6,43.0,1.6,0.5,8.56,3.89,4.63,0.04,928
107,"AUT","Advanced Economies","Austria",2025,"MF",15,24,2.1,26.6,25.1,66.6,40.2,4.7,1.5,8.66,3.89,4.65,0.12,901
107,"AUT","Advanced Economies","Austria",2030,"MF",15,24,1.8,27.0,25.8,63.5,37.5,7.6,2.5,8.75,3.90,4.65,0.20,924
107,"AUT","Advanced Economies","Austria",2035,"MF",15,24,1.6,27.0,25.8,60.9,35.6,10.5,3.6,8.90,3.91,4.70,0.28,965
107,"AUT","Advanced Economies","Austria",2040,"MF",15,24,1.4,27.0,25.9,58.6,34.0,13.1,4.5,9.02,3.92,4.75,0.35,992
108,"BEL","Advanced Economies","Belgium",2015,"MF",15,24,0.1,14.4,11.5,72.0,43.5,13.5,8.2,10.33,5.91,3.99,0.43,1285
108,"BEL","Advanced Economies","Belgium",2020,"MF",15,24,0.1,15.1,13.3,69.9,44.4,14.9,8.9,10.49,5.94,4.07,0.48,1235
108,"BEL","Advanced Economies","Belgium",2025,"MF",15,24,0.1,15.3,13.9,68.0,43.1,16.6,9.7,10.56,5.95,4.08,0.53,1302
108,"BEL","Advanced Economies","Belgium",2030,"MF",15,24,0.1,14.8,13.7,65.9,42.1,19.3,11.2,10.73,5.96,4.16,0.61,1360
108,"BEL","Advanced Economies","Belgium",2035,"MF",15,24,0.1,14.6,13.8,64.1,40.8,21.2,12.3,10.82,5.97,4.18,0.67,1364
108,"BEL","Advanced Economies","Belgium",2040,"MF",15,24,0.1,14.4,13.9,62.5,39.5,23.1,13.3,10.92,5.98,4.21,0.73,1355
50,"CAN","Advanced Economies","Canada",2015,"MF",15,24,0.1,2.2,1.5,72.3,42.5,25.5,7.4,11.61,5.98,4.97,0.66,4426
50,"CAN","Advanced Economies","Canada",2020,"MF",15,24,0.1,1.3,1.0,70.9,43.1,28.0,7.9,11.82,6.00,5.10,0.72,4240
50,"CAN","Advanced Economies","Canada",2025,"MF",15,24,0.1,1.1,0.9,69.3,43.3,29.7,8.2,11.92,6.00,5.16,0.76,4360
50,"CAN","Advanced Economies","Canada",2030,"MF",15,24,0.1,1.0,0.9,67.0,43.4,32.0,8.8,12.04,6.00,5.23,0.82,4660
50,"CAN","Advanced Economies","Canada",2035,"MF",15,24,0.1,0.9,0.9,64.9,41.7,34.3,9.3,12.13,6.01,5.26,0.87,4908
50,"CAN","Advanced Economies","Canada",2040,"MF",15,24,0.1,0.8,0.8,63.0,40.3,36.4,9.9,12.22,6.01,5.28,0.92,5057
110,"DNK","Advanced Economies","Denmark",2015,"MF",15,24,1.7,0.0,0.0,79.8,26.3,18.5,7.1,10.71,5.90,4.30,0.51,718
110,"DNK","Advanced Economies","Denmark",2020,"MF",15,24,1.6,0.4,0.3,78.8,26.4,19.2,7.5,10.75,5.90,4.31,0.53,705
110,"DNK","Advanced Economies","Denmark",2025,"MF",15,24,1.4,0.6,0.5,79.1,26.4,19.0,7.4,10.75,5.92,4.30,0.53,695
110,"DNK","Advanced Economies","Denmark",2030,"MF",15,24,1.4,0.6,0.5,78.9,26.8,19.1,7.4,10.77,5.91,4.32,0.53,689
110,"DNK","Advanced Economies","Denmark",2035,"MF",15,24,1.4,0.6,0.5,79.3,26.6,18.8,7.3,10.74,5.92,4.30,0.52,693
110,"DNK","Advanced Economies","Denmark",2040,"MF",15,24,1.4,0.6,0.5,79.4,26.6,18.7,7.2,10.74,5.92,4.30,0.52,721
111,"FIN","Advanced Economies","Finland",2015,"MF",15,24,0.9,46.9,43.0,45.9,34.2,6.3,1.9,8.77,5.83,2.78,0.16,646
111,"FIN","Advanced Economies","Finland",2020,"MF",15,24,1.0,48.0,44.9,44.6,34.4,6.3,1.8,8.75,5.84,2.75,0.16,606
111,"FIN","Advanced Economies","Finland",2025,"MF",15,24,0.8,49.8,47.1,43.3,34.4,6.1,1.8,8.73,5.87,2.70,0.16,614
111,"FIN","Advanced Economies","Finland",2030,"MF",15,24,0.5,49.5,47.3,43.8,36.4,6.2,1.8,8.84,5.91,2.78,0.16,637
111,"FIN","Advanced Economies","Finland",2035,"MF",15,24,0.2,49.5,47.5,44.0,38.0,6.2,1.8,8.92,5.92,2.83,0.16,647
111,"FIN","Advanced Economies","Finland",2040,"MF",15,24,0.1,49.3,47.4,44.3,39.0,6.2,1.8,8.97,5.93,2.87,0.16,648
112,"FRA","Advanced Economies","France",2015,"MF",15,24,1.1,1.3,1.2,78.6,42.0,19.3,5.1,11.20,4.96,5.75,0.49,7919
112,"FRA","Advanced Economies","France",2020,"MF",15,24,1.0,1.4,1.3,75.2,42.5,22.7,6.0,11.41,4.96,5.87,0.57,8032
112,"FRA","Advanced Economies","France",2025,"MF",15,24,1.0,1.4,1.4,72.4,43.0,25.5,6.7,11.58,4.96,5.97,0.65,8062
112,"FRA","Advanced Economies","France",2030,"MF",15,24,1.0,1.4,1.4,69.8,42.2,28.1,7.4,11.70,4.96,6.02,0.71,8161
112,"FRA","Advanced Economies","France",2035,"MF",15,24,1.0,1.4,1.4,67.3,40.3,30.6,8.1,11.78,4.96,6.04,0.77,8271
112,"FRA","Advanced Economies","France",2040,"MF",15,24,1.0,1.4,1.4,65.0,38.5,32.8,8.7,11.85,4.96,6.06,0.83,8318
190,"DEU","Advanced Economies","Germany",2015,"MF",15,24,0.1,0.2,0.2,51.6,21.3,48.2,18.6,13.41,4.00,8.07,1.34,8477
190,"DEU","Advanced Economies","Germany",2020,"MF",15,24,0.1,0.0,0.0,49.6,20.7,50.4,19.4,13.53,4.00,8.13,1.40,7887
190,"DEU","Advanced Economies","Germany",2025,"MF",15,24,0.1,0.0,0.0,48.4,20.3,51.6,19.9,13.59,4.00,8.16,1.43,7355
190,"DEU","Advanced Economies","Germany",2030,"MF",15,24,0.1,0.0,0.0,48.4,19.8,51.6,19.7,13.57,4.00,8.14,1.43,7203
190,"DEU","Advanced Economies","Germany",2035,"MF",15,24,0.1,0.0,0.0,47.2,19.0,52.8,20.2,13.62,4.00,8.16,1.46,7310
190,"DEU","Advanced Economies","Germany",2040,"MF",15,24,0.1,0.0,0.0,45.4,18.1,54.6,21.0,13.69,4.00,8.18,1.51,7259
114,"GRC","Advanced Economies","Greece",2015,"MF",15,24,0.1,8.8,8.6,81.2,50.4,9.9,9.5,10.92,5.99,4.54,0.39,1088
114,"GRC","Advanced Economies","Greece",2020,"MF",15,24,0.1,9.7,9.6,79.8,48.7,10.4,10.0,10.88,5.99,4.48,0.41,1065
114,"GRC","Advanced Economies","Greece",2025,"MF",15,24,0.1,9.8,9.8,79.4,47.1,10.8,10.2,10.85,5.99,4.44,0.42,1123
114,"GRC","Advanced Economies","Greece",2030,"MF",15,24,0.1,9.6,9.6,78.2,48.1,12.0,11.4,10.97,5.99,4.51,0.47,1156
114,"GRC","Advanced Economies","Greece",2035,"MF",15,24,0.1,9.6,9.6,77.6,48.0,12.7,12.0,11.02,5.99,4.53,0.49,1099
114,"GRC","Advanced Economies","Greece",2040,"MF",15,24,0.1,9.6,9.6,77.1,47.6,13.1,12.4,11.03,5.99,4.53,0.51,1035
116,"ISL","Advanced Economies","Iceland",2015,"MF",15,24,1.3,5.6,4.8,46.1,13.6,47.1,19.9,13.45,6.88,5.22,1.34,47
116,"ISL","Advanced Economies","Iceland",2020,"MF",15,24,1.2,2.4,2.1,47.4,14.6,49.0,20.7,13.74,6.91,5.44,1.39,45
116,"ISL","Advanced Economies","Iceland",2025,"MF",15,24,0.8,2.0,1.8,50.5,16.2,46.7,19.7,13.69,6.94,5.43,1.33,47
116,"ISL","Advanced Economies","Iceland",2030,"MF",15,24,0.6,1.6,1.4,49.1,15.9,48.7,20.5,13.85,6.95,5.52,1.38,50
