BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",2015,"M",25,64,0.5,5.6,4.0,63.9,46.0,30.0,16.9,13.13,6.91,5.28,0.94,6300
131,"AUS","Advanced Economies","Australia",2020,"M",25,64,0.8,4.4,3.4,67.6,50.0,27.2,15.1,13.10,6.91,5.34,0.85,6572
131,"AUS","Advanced Economies","Australia",2025,"M",25,64,1.1,3.5,3.0,70.6,53.7,24.7,13.5,13.04,6.90,5.38,0.76,6783
131,"AUS","Advanced Economies","Australia",2030,"M",25,64,1.5,2.7,2.5,73.4,57.3,22.4,12.1,13.01,6.89,5.43,0.69,6970
131,"AUS","Advanced Economies","Australia",2035,"M",25,64,1.8,2.3,2.2,75.7,60.5,20.2,10.8,12.94,6.87,5.45,0.62,7243
131,"AUS","Advanced Economies","Australia",2040,"M",25,64,2.0,2.0,1.9,77.7,63.7,18.3,9.7,12.90,6.86,5.48,0.56,7547
107,"AUT","Advanced Economies","Austria",2015,"M",25,64,2.1,10.5,8.6,68.3,57.8,19.2,10.8,11.06,3.88,6.58,0.60,2358
107,"AUT","Advanced Economies","Austria",2020,"M",25,64,2.0,10.1,8.4,71.3,60.6,16.6,9.3,11.00,3.88,6.60,0.52,2398
107,"AUT","Advanced Economies","Austria",2025,"M",25,64,2.2,9.5,7.9,83.7,70.7,4.6,2.5,10.57,3.88,6.55,0.14,2370
107,"AUT","Advanced Economies","Austria",2030,"M",25,64,2.4,8.3,6.9,84.9,71.0,4.4,2.4,10.60,3.88,6.59,0.14,2283
107,"AUT","Advanced Economies","Austria",2035,"M",25,64,2.3,7.2,6.1,86.2,70.8,4.3,2.3,10.64,3.88,6.62,0.13,2201
107,"AUT","Advanced Economies","Austria",2040,"M",25,64,1.7,7.8,6.7,86.0,69.1,4.4,2.3,10.60,3.91,6.56,0.14,2189
108,"BEL","Advanced Economies","Belgium",2015,"M",25,64,3.9,6.1,3.8,58.1,40.7,31.9,23.5,11.51,5.69,4.70,1.11,2953
108,"BEL","Advanced Economies","Belgium",2020,"M",25,64,3.3,5.5,3.2,60.1,44.4,31.1,22.8,11.65,5.73,4.84,1.08,2953
108,"BEL","Advanced Economies","Belgium",2025,"M",25,64,3.0,5.4,3.0,61.5,48.0,30.1,22.0,11.75,5.75,4.96,1.04,2886
108,"BEL","Advanced Economies","Belgium",2030,"M",25,64,2.5,5.5,2.9,63.0,52.2,29.1,21.2,11.87,5.77,5.09,1.01,2810
108,"BEL","Advanced Economies","Belgium",2035,"M",25,64,2.1,6.1,3.2,64.4,55.7,27.5,19.9,11.90,5.79,5.16,0.95,2777
108,"BEL","Advanced Economies","Belgium",2040,"M",25,64,1.7,6.6,3.6,65.5,58.8,26.2,18.9,11.95,5.81,5.24,0.90,2777
50,"CAN","Advanced Economies","Canada",2015,"M",25,64,0.6,2.0,0.9,51.0,38.5,46.4,28.2,12.89,5.93,5.47,1.49,9916
50,"CAN","Advanced Economies","Canada",2020,"M",25,64,0.6,1.6,0.8,52.5,40.6,45.3,27.5,12.91,5.94,5.51,1.46,10156
50,"CAN","Advanced Economies","Canada",2025,"M",25,64,0.6,1.3,0.7,53.9,42.6,44.3,26.9,12.92,5.95,5.55,1.42,10140
50,"CAN","Advanced Economies","Canada",2030,"M",25,64,0.5,1.0,0.5,55.0,44.9,43.5,26.5,12.97,5.96,5.61,1.40,10028
50,"CAN","Advanced Economies","Canada",2035,"M",25,64,0.5,1.0,0.5,56.5,47.7,42.1,25.6,12.97,5.96,5.65,1.35,10156
50,"CAN","Advanced Economies","Canada",2040,"M",25,64,0.5,0.9,0.6,57.5,50.0,41.2,25.1,13.00,5.97,5.70,1.33,10394
110,"DNK","Advanced Economies","Denmark",2015,"M",25,64,3.0,0.2,0.1,70.1,47.5,26.8,15.1,11.79,5.82,5.13,0.84,1461
110,"DNK","Advanced Economies","Denmark",2020,"M",25,64,3.2,0.0,0.0,68.2,45.5,28.6,15.8,11.82,5.81,5.12,0.89,1475
110,"DNK","Advanced Economies","Denmark",2025,"M",25,64,3.3,0.0,0.0,66.0,43.0,30.6,16.6,11.86,5.80,5.11,0.95,1485
110,"DNK","Advanced Economies","Denmark",2030,"M",25,64,3.3,0.1,0.1,63.8,40.4,32.7,17.5,11.89,5.80,5.09,1.01,1475
110,"DNK","Advanced Economies","Denmark",2035,"M",25,64,3.3,0.2,0.2,62.4,37.9,34.0,18.0,11.89,5.80,5.05,1.04,1466
110,"DNK","Advanced Economies","Denmark",2040,"M",25,64,3.2,0.3,0.2,61.0,35.1,35.4,18.6,11.88,5.80,5.01,1.08,1464
111,"FIN","Advanced Economies","Finland",2015,"M",25,64,0.1,18.9,15.5,53.6,38.0,27.4,13.5,11.10,5.89,4.39,0.82,1414
111,"FIN","Advanced Economies","Finland",2020,"M",25,64,0.1,16.5,13.7,58.1,43.0,25.3,11.8,11.21,5.91,4.55,0.74,1398
111,"FIN","Advanced Economies","Finland",2025,"M",25,64,0.2,15.6,13.0,61.1,46.7,23.1,10.2,11.19,5.91,4.62,0.67,1376
111,"FIN","Advanced Economies","Finland",2030,"M",25,64,0.3,14.7,12.4,64.2,50.7,20.8,8.8,11.20,5.91,4.69,0.59,1353
111,"FIN","Advanced Economies","Finland",2035,"M",25,64,0.4,14.3,12.1,67.2,55.1,18.1,7.3,11.17,5.91,4.76,0.51,1349
111,"FIN","Advanced Economies","Finland",2040,"M",25,64,0.4,14.0,12.0,69.9,59.4,15.7,6.1,11.17,5.92,4.82,0.44,1369
112,"FRA","Advanced Economies","France",2015,"M",25,64,1.2,6.3,5.8,64.6,46.8,27.9,15.1,11.73,4.93,5.94,0.86,16317
112,"FRA","Advanced Economies","France",2020,"M",25,64,1.3,3.7,3.4,65.3,47.9,29.8,16.1,11.99,4.93,6.13,0.92,16371
112,"FRA","Advanced Economies","France",2025,"M",25,64,1.4,2.7,2.4,64.2,48.3,31.8,17.2,12.16,4.93,6.24,0.98,16497
112,"FRA","Advanced Economies","France",2030,"M",25,64,1.5,1.7,1.5,62.8,49.2,34.2,18.5,12.37,4.93,6.38,1.05,16519
112,"FRA","Advanced Economies","France",2035,"M",25,64,1.7,1.2,1.1,61.9,50.5,35.6,19.2,12.51,4.93,6.48,1.10,16523
112,"FRA","Advanced Economies","France",2040,"M",25,64,1.9,0.7,0.6,60.5,51.5,37.4,20.1,12.66,4.93,6.58,1.15,16577
190,"DEU","Advanced Economies","Germany",2015,"M",25,64,1.8,1.2,1.0,65.9,50.2,31.1,17.5,13.15,3.92,8.26,0.97,22999
190,"DEU","Advanced Economies","Germany",2020,"M",25,64,1.6,1.2,1.0,62.0,44.2,35.2,19.4,13.24,3.93,8.22,1.09,22498
190,"DEU","Advanced Economies","Germany",2025,"M",25,64,1.4,1.1,0.9,57.8,42.1,39.7,21.5,13.47,3.94,8.31,1.22,21573
190,"DEU","Advanced Economies","Germany",2030,"M",25,64,1.1,1.0,0.8,53.3,39.7,44.6,23.8,13.72,3.95,8.40,1.37,20008
190,"DEU","Advanced Economies","Germany",2035,"M",25,64,0.9,0.9,0.8,48.1,36.5,50.2,26.6,14.00,3.96,8.50,1.54,18500
190,"DEU","Advanced Economies","Germany",2040,"M",25,64,0.7,0.7,0.6,42.7,33.2,55.9,29.4,14.27,3.97,8.59,1.71,17875
114,"GRC","Advanced Economies","Greece",2015,"M",25,64,0.8,18.0,17.5,50.1,37.6,31.1,28.7,11.63,5.94,4.50,1.20,3106
114,"GRC","Advanced Economies","Greece",2020,"M",25,64,0.7,14.2,13.8,55.0,43.5,30.1,27.7,11.86,5.95,4.76,1.16,3039
114,"GRC","Advanced Economies","Greece",2025,"M",25,64,0.7,12.2,11.8,59.0,48.6,28.2,26.0,11.95,5.95,4.92,1.09,2957
114,"GRC","Advanced Economies","Greece",2030,"M",25,64,0.6,10.0,9.7,63.1,54.0,26.3,24.3,12.06,5.96,5.09,1.01,2872
114,"GRC","Advanced Economies","Greece",2035,"M",25,64,0.5,9.0,8.8,66.5,59.4,24.0,22.2,12.10,5.96,5.21,0.92,2770
114,"GRC","Advanced Economies","Greece",2040,"M",25,64,0.4,8.0,7.8,70.0,65.0,21.6,20.0,12.15,5.97,5.35,0.83,2655
116,"ISL","Advanced Economies","Iceland",2015,"M",25,64,2.1,26.7,22.0,30.5,21.4,40.7,22.1,12.56,6.69,4.62,1.26,89
116,"ISL","Advanced Economies","Iceland",2020,"M",25,64,1.9,22.2,18.4,26.0,18.3,49.9,26.8,13.27,6.73,5.00,1.53,93
116,"ISL","Advanced Economies","Iceland",2025,"M",25,64,1.4,17.7,14.8,21.4,15.2,59.4,31.7,14.03,6.80,5.41,1.82,95
116,"ISL","Advanced Economies","Iceland",2030,"M",25,64,1.3,13.5,11.3,16.2,11.6,69.1,36.6,14.73,6.84,5.78,2.11,96
116,"ISL","Advanced Economies","Iceland",2035,"M",25,64,1.2,10.2,8.6,10.4,7.5,78.2,41.3,15.34,6.86,6.09,2.39,99
116,"ISL","Advanced Economies","Iceland",2040,"M",25,64,1.3,7.4,6.3,5.0,3.7,86.4,45.5,15.85,6.87,6.34,2.64,100
117,"IRL","Advanced Economies","Ireland",2015,"M",25,64,0.7,8.8,7.2,43.6,28.0,46.9,31.8,13.66,7.88,4.21,1.57,1254
117,"IRL","Advanced Economies","Ireland",2020,"M",25,64,0.6,6.6,5.5,45.9,32.2,46.9,31.8,13.85,7.91,4.37,1.57,1283
117,"IRL","Advanced Economies","Ireland",2025,"M",25,64,0.5,6.1,5.1,46.8,35.7,46.5,31.5,13.93,7.92,4.45,1.56,1314
117,"IRL","Advanced Economies","Ireland",2030,"M",25,64,0.4,5.6,4.7,47.2,38.8,46.8,31.5,14.03,7.93,4.53,1.57,1341
117,"IRL","Advanced Economies","Ireland",2035,"M",25,64,0.3,5.8,4.9,47.7,41.3,46.1,31.0,14.04,7.93,4.56,1.54,1380
117,"IRL","Advanced Economies","Ireland",2040,"M",25,64,0.2,6.0,5.2,47.6,43.4,46.0,30.7,14.07,7.94,4.60,1.53,1408
118,"ITA","Advanced Economies","Italy",2015,"M",25,64,1.3,5.8,5.7,80.3,45.3,12.6,7.0,11.00,4.93,5.68,0.39,16553
118,"ITA","Advanced Economies","Italy",2020,"M",25,64,1.1,3.6,3.6,80.5,47.6,14.7,8.1,11.37,4.94,5.97,0.46,16438
118,"ITA","Advanced Economies","Italy",2025,"M",25,64,0.9,2.9,2.9,79.0,49.6,17.2,9.3,11.70,4.95,6.22,0.53,16079
118,"ITA","Advanced Economies","Italy",2030,"M",25,64,0.7,2.1,2.1,77.1,52.5,20.0,10.7,12.12,4.96,6.54,0.62,15433
118,"ITA","Advanced Economies","Italy",2035,"M",25,64,0.5,1.6,1.6,74.6,55.1,23.3,12.3,12.54,4.97,6.86,0.71,14679
118,"ITA","Advanced Economies","Italy",2040,"M",25,64,0.4,1.0,1.0,71.6,57.6,27.0,14.2,12.99,4.98,7.19,0.82,13989
90,"JPN","Advanced Economies","Japan",2015,"M",25,64,0.1,8.3,6.8,49.4,41.8,42.2,23.5,12.53,5.95,5.27,1.31,32603
90,"JPN","Advanced Economies","Japan",2020,"M",25,64,0.1,6.9,5.7,49.1,42.7,43.9,24.2,12.71,5.96,5.39,1.36,31250
90,"JPN","Advanced Economies","Japan",2025,"M",25,64,0.1,6.5,5.4,49.5,43.3,43.9,23.9,12.74,5.96,5.42,1.36,30428
90,"JPN","Advanced Economies","Japan",2030,"M",25,64,0.1,6.0,5.0,49.6,43.8,44.3,23.9,12.79,5.97,5.46,1.36,29335
90,"JPN","Advanced Economies","Japan",2035,"M",25,64,0.1,5.5,4.7,49.6,44.2,44.8,23.9,12.85,5.97,5.50,1.37,27836
90,"JPN","Advanced Economies","Japan",2040,"M",25,64,0.1,4.5,3.8,47.0,42.4,48.4,25.5,13.04,5.97,5.59,1.48,25849
119,"LUX","Advanced Economies","Luxembourg",2015,"M",25,64,5.2,10.4,8.5,48.2,32.8,36.2,20.2,12.05,5.63,5.29,1.13,152
119,"LUX","Advanced Economies","Luxembourg",2020,"M",25,64,5.7,8.1,6.7,53.7,36.4,32.5,18.0,11.98,5.62,5.35,1.01,160
119,"LUX","Advanced Economies","Luxembourg",2025,"M",25,64,5.9,6.2,5.2,59.2,39.9,28.7,15.7,11.89,5.62,5.38,0.89,166
119,"LUX","Advanced Economies","Luxembourg",2030,"M",25,64,6.2,4.4,3.7,64.2,43.1,25.1,13.6,11.79,5.61,5.41,0.78,169
119,"LUX","Advanced Economies","Luxembourg",2035,"M",25,64,6.4,3.2,2.7,69.6,46.6,20.9,11.2,11.65,5.60,5.41,0.64,170
119,"LUX","Advanced Economies","Luxembourg",2040,"M",25,64,6.3,2.3,1.9,74.0,49.4,17.5,9.3,11.57,5.62,5.42,0.53,173
121,"NLD","Advanced Economies","Netherlands",2015,"M",25,64,0.1,6.1,5.0,61.7,43.1,32.1,18.1,12.05,5.97,5.07,1.00,4491
121,"NLD","Advanced Economies","Netherlands",2020,"M",25,64,0.1,5.2,4.2,64.1,45.3,30.7,17.0,12.05,5.97,5.12,0.96,4450
121,"NLD","Advanced Economies","Netherlands",2025,"M",25,64,0.2,4.6,3.8,66.0,47.0,29.3,16.0,12.02,5.97,5.15,0.91,4361
121,"NLD","Advanced Economies","Netherlands",2030,"M",25,64,0.2,4.3,3.5,67.7,48.5,27.8,15.0,11.98,5.97,5.16,0.86,4241
121,"NLD","Advanced Economies","Netherlands",2035,"M",25,64,0.2,4.2,3.5,69.2,49.3,26.4,14.1,11.91,5.96,5.14,0.81,4087
121,"NLD","Advanced Economies","Netherlands",2040,"M",25,64,0.3,4.2,3.4,70.2,49.8,25.3,13.4,11.85,5.96,5.12,0.77,3996
133,"NZL","Advanced Economies","New Zealand",2015,"M",25,64,0.6,40.1,33.2,24.6,15.5,34.7,13.6,10.60,5.76,3.88,0.97,1153
133,"NZL","Advanced Economies","New Zealand",2020,"M",25,64,1.3,41.7,34.8,20.8,13.3,36.3,14.2,10.50,5.72,3.77,1.01,1203
133,"NZL","Advanced Economies","New Zealand",2025,"M",25,64,1.6,43.7,36.6,16.8,10.9,37.9,14.8,10.39,5.69,3.65,1.05,1229
133,"NZL","Advanced Economies","New Zealand",2030,"M",25,64,2.0,45.7,38.4,12.8,8.4,39.5,15.5,10.29,5.66,3.53,1.10,1237
133,"NZL","Advanced Economies","New Zealand",2035,"M",25,64,2.3,48.4,40.9,8.4,5.5,40.9,16.1,10.14,5.64,3.36,1.14,1271
133,"NZL","Advanced Economies","New Zealand",2040,"M",25,64,2.6,50.4,42.9,4.9,3.2,42.2,16.6,10.04,5.62,3.24,1.18,1308
122,"NOR","Advanced Economies","Norway",2015,"M",25,64,8.2,0.3,0.3,64.7,43.8,26.8,14.4,12.11,6.42,4.86,0.82,1362
122,"NOR","Advanced Economies","Norway",2020,"M",25,64,8.6,0.4,0.4,63.0,41.6,28.1,14.9,12.08,6.40,4.82,0.86,1414
122,"NOR","Advanced Economies","Norway",2025,"M",25,64,8.6,0.3,0.3,61.4,39.7,29.6,15.7,12.11,6.40,4.81,0.91,1446
122,"NOR","Advanced Economies","Norway",2030,"M",25,64,8.6,0.3,0.3,59.9,37.6,31.3,16.6,12.16,6.40,4.80,0.96,1461
122,"NOR","Advanced Economies","Norway",2035,"M",25,64,8.2,0.3,0.3,58.9,35.3,32.7,17.4,12.22,6.43,4.79,1.00,1473
122,"NOR","Advanced Economies","Norway",2040,"M",25,64,7.8,0.2,0.2,57.7,32.8,34.3,18.2,12.29,6.46,4.78,1.05,1496
124,"PRT","Advanced Economies","Portugal",2015,"M",25,64,3.6,40.9,40.2,43.4,20.4,12.1,2.0,8.69,5.76,2.64,0.28,2930
124,"PRT","Advanced Economies","Portugal",2020,"M",25,64,3.2,34.8,34.8,49.9,25.3,12.2,1.7,9.07,5.81,2.99,0.28,2902
124,"PRT","Advanced Economies","Portugal",2025,"M",25,64,2.7,29.4,29.4,55.6,30.9,12.3,1.5,9.45,5.84,3.33,0.28,2848
124,"PRT","Advanced Economies","Portugal",2030,"M",25,64,2.1,23.5,23.5,61.9,38.0,12.6,1.4,9.90,5.87,3.75,0.28,2779
124,"PRT","Advanced Economies","Portugal",2035,"M",25,64,1.7,19.0,19.0,66.8,45.3,12.5,1.3,10.29,5.90,4.11,0.28,2688
124,"PRT","Advanced Economies","Portugal",2040,"M",25,64,1.3,14.0,14.0,72.0,53.0,12.7,1.4,10.72,5.92,4.51,0.28,2546
125,"ESP","Advanced Economies","Spain",2015,"M",25,64,0.9,15.2,12.5,55.0,24.7,28.9,16.1,11.19,5.86,4.43,0.90,13613
125,"ESP","Advanced Economies","Spain",2020,"M",25,64,0.8,11.9,9.9,58.6,27.8,28.7,15.9,11.41,5.89,4.62,0.89,13554
125,"ESP","Advanced Economies","Spain",2025,"M",25,64,0.8,10.2,8.6,60.9,31.3,28.1,15.4,11.52,5.90,4.75,0.87,13252
125,"ESP","Advanced Economies","Spain",2030,"M",25,64,0.7,8.3,7.1,63.4,36.9,27.6,14.9,11.70,5.92,4.93,0.85,12867
125,"ESP","Advanced Economies","Spain",2035,"M",25,64,0.7,7.4,6.5,65.4,42.9,26.4,14.1,11.80,5.93,5.06,0.81,12453
125,"ESP","Advanced Economies","Spain",2040,"M",25,64,0.6,6.5,5.8,67.4,49.3,25.5,13.5,11.93,5.94,5.21,0.78,11889
126,"SWE","Advanced Economies","Sweden",2015,"M",25,64,2.3,2.9,2.4,70.1,58.2,24.7,13.8,11.95,5.85,5.33,0.77,2480
126,"SWE","Advanced Economies","Sweden",2020,"M",25,64,3.0,2.3,1.9,66.9,56.2,27.8,15.2,12.03,5.81,5.36,0.86,2563
126,"SWE","Advanced Economies","Sweden",2025,"M",25,64,3.5,2.2,1.9,63.6,54.1,30.7,16.6,12.09,5.78,5.37,0.94,2572
126,"SWE","Advanced Economies","Sweden",2030,"M",25,64,3.8,2.2,1.8,60.2,52.2,33.8,18.1,12.19,5.76,5.40,1.04,2584
126,"SWE","Advanced Economies","Sweden",2035,"M",25,64,4.1,2.1,1.8,57.5,50.3,36.4,19.3,12.27,5.75,5.41,1.11,2610
126,"SWE","Advanced Economies","Sweden",2040,"M",25,64,4.3,2.0,1.7,54.7,48.6,39.0,20.5,12.36,5.73,5.44,1.19,2664
127,"CHE","Advanced Economies","Switzerland",2015,"M",25,64,0.9,1.8,1.5,57.0,46.8,40.3,22.7,13.60,5.93,6.40,1.26,2304
127,"CHE","Advanced Economies","Switzerland",2020,"M",25,64,0.8,1.6,1.3,61.2,50.1,36.5,20.3,13.47,5.94,6.39,1.13,2409
127,"CHE","Advanced Economies","Switzerland",2025,"M",25,64,0.6,1.3,1.1,65.5,53.9,32.5,17.8,13.35,5.95,6.39,1.01,2474
127,"CHE","Advanced Economies","Switzerland",2030,"M",25,64,0.5,1.1,0.9,69.6,57.8,28.8,15.6,13.26,5.96,6.41,0.89,2490
127,"CHE","Advanced Economies","Switzerland",2035,"M",25,64,0.4,0.9,0.7,74.0,62.5,24.8,13.3,13.19,5.98,6.46,0.76,2510
127,"CHE","Advanced Economies","Switzerland",2040,"M",25,64,0.2,0.7,0.6,77.4,66.8,21.7,11.5,13.16,5.99,6.51,0.66,2576
128,"TUR","Advanced Economies","Turkey",2015,"M",25,64,1.8,40.8,37.6,43.8,28.8,13.5,7.5,8.63,5.80,2.42,0.42,18920
128,"TUR","Advanced Economies","Turkey",2020,"M",25,64,1.4,34.7,31.4,52.3,34.9,11.6,6.4,8.85,5.82,2.67,0.36,20408
128,"TUR","Advanced Economies","Turkey",2025,"M",25,64,1.4,28.8,25.6,59.8,40.5,10.0,5.5,9.05,5.82,2.91,0.31,21769
128,"TUR","Advanced Economies","Turkey",2030,"M",25,64,1.4,23.0,20.1,66.1,45.5,9.5,5.1,9.28,5.83,3.16,0.29,22877
128,"TUR","Advanced Economies","Turkey",2035,"M",25,64,1.4,17.9,15.2,71.0,49.6,9.7,5.2,9.52,5.84,3.39,0.30,23714
128,"TUR","Advanced Economies","Turkey",2040,"M",25,64,1.4,12.7,10.2,75.4,53.4,10.5,5.5,9.80,5.84,3.64,0.32,24207
